cluster,rank,sku_id,category,brand,sku_segment,price,margin_pct,total_revenue,total_units,margin_contribution,velocity,recommendation_score,recommendation_reason,stock_level,suggested_reorder_qty,price_strategy,pack_size
B,8,SKU00146,Frozen,CoolSip,Premium,119.82,17.34,248985.96,2078,43174.17,3.1,5.54,High Revenue Generator,Medium,61,Value Pricing,500
B,25,SKU00205,Staples,CoolSip,Premium,112.24,44.22,232785.76,2074,102937.86,3.12,5.33,Balanced Performer,Medium,62,Premium Pricing,200
C,1,SKU00107,Snacks,FizMax,Premium,119.44,47.97,124098.16,1039,59529.89,4.21,80.33,High Revenue Generator,Medium,84,Premium Pricing,250
C,3,SKU00199,Beverages,Miko,Premium,108.06,49.9,115732.26,1071,57750.4,4.2,33.64,High Revenue Generator,Medium,84,Premium Pricing,250
C,2,SKU00026,Staples,CoolSip,Premium,114.59,44.72,116538.03,1017,52115.81,4.17,33.56,High Revenue Generator,Medium,83,Premium Pricing,500
C,101,SKU00250,Snacks,Miko,Standard,80.08,31.58,80480.4,1005,25415.71,4.49,20.78,Fast Moving Item,Medium,89,Competitive Pricing,1000
C,4,SKU00091,Kids,Miko,Premium,119.5,34.38,115676.0,968,39769.41,4.36,13.48,High Revenue Generator,Medium,87,Competitive Pricing,200
C,12,SKU00075,Essentials,PureCare,Standard,111.97,47.89,105923.62,946,50726.82,4.1,13.46,High Margin Contributor,Medium,81,Premium Pricing,1000
C,235,SKU00147,Staples,ChillFrost,Standard,29.61,26.0,29906.1,1010,7775.59,4.47,10.33,Fast Moving Item,Medium,89,Value Pricing,1000
C,29,SKU00010,Essentials,CoolSip,Premium,103.74,48.76,100524.06,969,49015.53,4.14,9.56,High Margin Contributor,Medium,82,Premium Pricing,200
C,5,SKU00292,Essentials,CoolSip,Premium,114.6,29.8,109557.6,956,32648.16,4.19,9.01,High Revenue Generator,Medium,83,Value Pricing,500
C,7,SKU00274,Kids,ChillFrost,Premium,118.92,41.63,108455.04,912,45149.83,4.07,8.91,High Revenue Generator,Medium,81,Premium Pricing,250
C,8,SKU00198,Kids,ChillFrost,Premium,116.78,40.8,106853.7,915,43596.31,4.14,7.85,High Revenue Generator,Medium,82,Premium Pricing,200
C,41,SKU00207,Kids,BakeWell,Standard,104.92,49.92,97365.76,928,48604.99,3.93,7.72,High Margin Contributor,Medium,78,Premium Pricing,1000
C,6,SKU00072,Staples,CoolSip,Premium,104.97,31.83,108853.89,1037,34648.19,4.05,7.66,High Revenue Generator,Medium,81,Competitive Pricing,200
C,24,SKU00135,Beverages,BakeWell,Premium,119.1,46.53,101235.0,850,47104.65,3.9,7.45,High Margin Contributor,Medium,77,Premium Pricing,500
C,250,SKU00181,Beverages,BakeWell,Standard,21.7,38.99,23370.9,1077,9112.31,4.45,7.0,Fast Moving Item,Medium,89,Competitive Pricing,1000
C,17,SKU00205,Staples,CoolSip,Premium,112.24,44.22,103934.24,926,45959.72,4.17,6.59,High Margin Contributor,Medium,83,Premium Pricing,200
C,23,SKU00187,Beverages,Miko,Premium,116.29,45.54,101288.59,871,46126.82,4.09,6.31,High Margin Contributor,Medium,81,Premium Pricing,250
C,126,SKU00213,Frozen,PureCare,Value,73.49,48.47,70329.93,957,34088.92,4.43,6.17,Fast Moving Item,Medium,88,Premium Pricing,500
C,52,SKU00290,Frozen,BakeWell,Premium,108.41,49.99,92582.14,854,46281.81,4.05,5.87,High Margin Contributor,Medium,80,Premium Pricing,500
C,21,SKU00098,Kids,FizMax,Standard,106.07,44.34,102039.34,962,45244.24,4.15,5.43,Balanced Performer,Medium,82,Premium Pricing,1000
D,1,SKU00079,Snacks,FizMax,Premium,115.92,33.07,128439.36,1108,42474.9,3.05,42.81,High Revenue Generator,Medium,61,Competitive Pricing,1000
D,24,SKU00207,Kids,BakeWell,Standard,104.92,49.92,110375.84,1052,55099.62,2.89,41.82,High Margin Contributor,Medium,57,Premium Pricing,1000
D,28,SKU00199,Beverages,Miko,Premium,108.06,49.9,109356.72,1012,54569.0,2.91,21.61,High Margin Contributor,Medium,58,Premium Pricing,250
D,2,SKU00228,Essentials,ChillFrost,Premium,116.31,30.48,125149.56,1076,38145.59,2.84,21.08,High Revenue Generator,Medium,56,Competitive Pricing,200
D,290,SKU00121,Frozen,CoolSip,Standard,13.91,32.21,14410.76,1036,4641.71,3.21,20.28,Fast Moving Item,Medium,64,Competitive Pricing,1000
D,4,SKU00026,Staples,CoolSip,Premium,114.59,44.72,119631.96,1044,53499.41,2.9,18.16,High Revenue Generator,Medium,58,Premium Pricing,500
D,6,SKU00187,Beverages,Miko,Premium,116.29,45.54,118383.22,1018,53911.72,2.74,16.74,High Revenue Generator,Medium,54,Premium Pricing,250
D,17,SKU00107,Snacks,FizMax,Premium,119.44,47.97,113229.12,948,54316.01,2.86,15.82,High Margin Contributor,Medium,57,Premium Pricing,250
D,3,SKU00131,Frozen,Miko,Premium,118.31,17.19,121977.61,1031,20967.95,2.93,13.84,High Revenue Generator,Medium,58,Value Pricing,250
D,125,SKU00088,Staples,BakeWell,Premium,75.53,35.96,77418.25,1025,27839.6,3.19,10.7,Fast Moving Item,Medium,63,Competitive Pricing,200
D,14,SKU00263,Essentials,PureCare,Standard,112.39,45.6,113963.46,1014,51967.34,3.05,10.11,High Margin Contributor,Medium,61,Premium Pricing,1000
D,5,SKU00203,Staples,CoolSip,Premium,112.49,36.1,119239.4,1060,43045.42,2.86,9.72,High Revenue Generator,Medium,57,Competitive Pricing,250
D,20,SKU00135,Beverages,BakeWell,Premium,119.1,46.53,112192.2,942,52203.03,2.8,8.75,High Margin Contributor,Medium,55,Premium Pricing,500
D,11,SKU00159,Frozen,BakeWell,Premium,116.41,43.6,114780.26,986,50044.19,2.75,8.16,High Margin Contributor,Medium,55,Premium Pricing,1000
D,7,SKU00043,Essentials,FizMax,Premium,117.35,38.21,117232.65,999,44794.6,3.0,8.15,High Revenue Generator,Medium,60,Competitive Pricing,500
D,201,SKU00113,Snacks,BakeWell,Value,45.59,20.79,44860.56,984,9326.51,3.16,7.04,Fast Moving Item,Medium,63,Value Pricing,200
D,22,SKU00099,Essentials,FizMax,Standard,112.37,45.93,110796.82,986,50888.98,2.83,6.92,High Margin Contributor,Medium,56,Premium Pricing,1000
D,13,SKU00198,Kids,ChillFrost,Premium,116.78,40.8,114444.4,980,46693.32,3.03,6.17,Balanced Performer,Medium,60,Premium Pricing,200
D,8,SKU00104,Snacks,PureCare,Premium,115.94,30.77,117215.34,1011,36067.16,2.96,6.07,High Revenue Generator,Medium,59,Competitive Pricing,500
D,133,SKU00212,Snacks,Miko,Value,68.74,45.02,74514.16,1084,33546.27,3.13,5.9,Fast Moving Item,Medium,62,Premium Pricing,500
