store_id,forecast_date,days_ahead,predicted_sales_value,cluster,month
S0003,2025-01-29,30,9562.12,C,2025-01
S0004,2024-12-31,1,9233.08,D,2024-12
S0004,2025-01-01,2,9219.04,D,2025-01
S0004,2025-01-02,3,9219.04,D,2025-01
S0004,2025-01-03,4,9054.49,D,2025-01
S0004,2025-01-04,5,9054.49,D,2025-01
S0004,2025-01-05,6,9093.89,D,2025-01
S0004,2025-01-06,7,9054.49,D,2025-01
S0004,2025-01-07,8,9054.49,D,2025-01
S0004,2025-01-08,9,9054.49,D,2025-01
S0004,2025-01-09,10,9083.75,D,2025-01
S0004,2025-01-10,11,9083.75,D,2025-01
S0004,2025-01-11,12,9114.46,D,2025-01
S0004,2025-01-12,13,9153.86,D,2025-01
S0004,2025-01-13,14,9114.46,D,2025-01
S0004,2025-01-14,15,9114.46,D,2025-01
S0004,2025-01-15,16,9114.46,D,2025-01
S0004,2025-01-16,17,9114.46,D,2025-01
S0004,2025-01-17,18,9114.46,D,2025-01
S0004,2025-01-18,19,9114.46,D,2025-01
S0004,2025-01-19,20,9153.86,D,2025-01
S0004,2025-01-20,21,9114.46,D,2025-01
S0004,2025-01-21,22,9114.46,D,2025-01
S0004,2025-01-22,23,9114.46,D,2025-01
S0004,2025-01-23,24,9114.46,D,2025-01
S0004,2025-01-24,25,9114.46,D,2025-01
S0004,2025-01-25,26,9114.46,D,2025-01
S0004,2025-01-26,27,9153.86,D,2025-01
S0004,2025-01-27,28,9114.46,D,2025-01
S0004,2025-01-28,29,9114.46,D,2025-01
S0004,2025-01-29,30,9114.46,D,2025-01
S0005,2024-12-31,1,10693.46,D,2024-12
S0005,2025-01-01,2,11354.09,D,2025-01
S0005,2025-01-02,3,11354.09,D,2025-01
S0005,2025-01-03,4,10844.71,D,2025-01
S0005,2025-01-04,5,10955.7,D,2025-01
S0005,2025-01-05,6,10929.49,D,2025-01
S0005,2025-01-06,7,10779.1,D,2025-01
S0005,2025-01-07,8,10664.77,D,2025-01
S0005,2025-01-08,9,10664.77,D,2025-01
S0005,2025-01-09,10,10664.77,D,2025-01
S0005,2025-01-10,11,10664.77,D,2025-01
S0005,2025-01-11,12,10775.76,D,2025-01
S0005,2025-01-12,13,10815.16,D,2025-01
S0005,2025-01-13,14,10664.77,D,2025-01
S0005,2025-01-14,15,10664.77,D,2025-01
S0005,2025-01-15,16,10664.77,D,2025-01
S0005,2025-01-16,17,10664.77,D,2025-01
S0005,2025-01-17,18,10664.77,D,2025-01
S0005,2025-01-18,19,10621.31,D,2025-01
S0005,2025-01-19,20,10660.72,D,2025-01
S0005,2025-01-20,21,10664.77,D,2025-01
S0005,2025-01-21,22,10664.77,D,2025-01
S0005,2025-01-22,23,10664.77,D,2025-01
S0005,2025-01-23,24,10664.77,D,2025-01
S0005,2025-01-24,25,10664.77,D,2025-01
S0005,2025-01-25,26,10621.31,D,2025-01
S0005,2025-01-26,27,10660.72,D,2025-01
S0005,2025-01-27,28,10664.77,D,2025-01
S0005,2025-01-28,29,10664.77,D,2025-01
S0005,2025-01-29,30,10664.77,D,2025-01
S0006,2024-12-31,1,18424.55,A,2024-12
S0006,2025-01-01,2,20071.61,A,2025-01
S0006,2025-01-02,3,20157.52,A,2025-01
S0006,2025-01-03,4,20157.52,A,2025-01
S0006,2025-01-04,5,20354.13,A,2025-01
S0006,2025-01-05,6,20188.77,A,2025-01
S0006,2025-01-06,7,20107.46,A,2025-01
S0006,2025-01-07,8,20107.46,A,2025-01
S0006,2025-01-08,9,20268.22,A,2025-01
S0006,2025-01-09,10,20408.32,A,2025-01
S0006,2025-01-10,11,20408.32,A,2025-01
S0006,2025-01-11,12,19583.35,A,2025-01
S0006,2025-01-12,13,19417.98,A,2025-01
S0006,2025-01-13,14,19336.68,A,2025-01
S0006,2025-01-14,15,19336.68,A,2025-01
S0006,2025-01-15,16,19497.44,A,2025-01
S0006,2025-01-16,17,19583.35,A,2025-01
S0006,2025-01-17,18,19583.35,A,2025-01
S0006,2025-01-18,19,19583.35,A,2025-01
S0006,2025-01-19,20,19417.98,A,2025-01
S0006,2025-01-20,21,19336.68,A,2025-01
S0006,2025-01-21,22,19336.68,A,2025-01
S0006,2025-01-22,23,19497.44,A,2025-01
S0006,2025-01-23,24,19583.35,A,2025-01
S0006,2025-01-24,25,19583.35,A,2025-01
S0006,2025-01-25,26,19583.35,A,2025-01
S0006,2025-01-26,27,19417.98,A,2025-01
S0006,2025-01-27,28,19336.68,A,2025-01
S0006,2025-01-28,29,19336.68,A,2025-01
S0006,2025-01-29,30,19497.44,A,2025-01
S0007,2024-12-31,1,8253.96,E,2024-12
S0007,2025-01-01,2,7559.37,E,2025-01
S0007,2025-01-02,3,7559.37,E,2025-01
S0007,2025-01-03,4,7559.37,E,2025-01
S0007,2025-01-04,5,7727.47,E,2025-01
S0007,2025-01-05,6,7768.82,E,2025-01
S0007,2025-01-06,7,7559.37,E,2025-01
S0007,2025-01-07,8,7559.37,E,2025-01
S0007,2025-01-08,9,7559.37,E,2025-01
S0007,2025-01-09,10,7588.63,E,2025-01
S0007,2025-01-10,11,7588.63,E,2025-01
S0007,2025-01-11,12,7787.43,E,2025-01
S0007,2025-01-12,13,7828.79,E,2025-01
S0007,2025-01-13,14,7619.34,E,2025-01
S0007,2025-01-14,15,7619.34,E,2025-01
S0007,2025-01-15,16,7619.34,E,2025-01
S0007,2025-01-16,17,7619.34,E,2025-01
S0007,2025-01-17,18,7619.34,E,2025-01
S0007,2025-01-18,19,7787.43,E,2025-01
S0007,2025-01-19,20,7828.79,E,2025-01
S0007,2025-01-20,21,7619.34,E,2025-01
S0007,2025-01-21,22,7619.34,E,2025-01
S0007,2025-01-22,23,7619.34,E,2025-01
S0007,2025-01-23,24,7619.34,E,2025-01
S0007,2025-01-24,25,7619.34,E,2025-01
S0007,2025-01-25,26,7787.43,E,2025-01
S0007,2025-01-26,27,7828.79,E,2025-01
S0007,2025-01-27,28,7619.34,E,2025-01
S0007,2025-01-28,29,7619.34,E,2025-01
S0007,2025-01-29,30,7619.34,E,2025-01
S0008,2024-12-31,1,8276.73,D,2024-12
S0008,2025-01-01,2,8205.93,D,2025-01
S0008,2025-01-02,3,8205.93,D,2025-01
S0008,2025-01-03,4,8205.93,D,2025-01
S0008,2025-01-04,5,8205.93,D,2025-01
S0008,2025-01-05,6,8376.22,D,2025-01
S0008,2025-01-06,7,8701.43,D,2025-01
S0008,2025-01-07,8,8701.43,D,2025-01
S0008,2025-01-08,9,8727.25,D,2025-01
S0008,2025-01-09,10,8756.51,D,2025-01
S0008,2025-01-10,11,8756.51,D,2025-01
S0008,2025-01-11,12,8787.22,D,2025-01
S0008,2025-01-12,13,8842.47,D,2025-01
S0008,2025-01-13,14,8761.4,D,2025-01
S0008,2025-01-14,15,8884.03,D,2025-01
S0008,2025-01-15,16,8909.84,D,2025-01
S0008,2025-01-16,17,8909.84,D,2025-01
S0008,2025-01-17,18,8909.84,D,2025-01
S0008,2025-01-18,19,8909.84,D,2025-01
S0008,2025-01-19,20,8965.09,D,2025-01
S0008,2025-01-20,21,8884.03,D,2025-01
S0008,2025-01-21,22,8884.03,D,2025-01
S0008,2025-01-22,23,8909.84,D,2025-01
S0008,2025-01-23,24,8909.84,D,2025-01
S0008,2025-01-24,25,8909.84,D,2025-01
S0008,2025-01-25,26,8909.84,D,2025-01
S0008,2025-01-26,27,8965.09,D,2025-01
S0008,2025-01-27,28,8884.03,D,2025-01
S0008,2025-01-28,29,8884.03,D,2025-01
S0008,2025-01-29,30,8909.84,D,2025-01
S0009,2024-12-31,1,22073.07,A,2024-12
S0009,2025-01-01,2,23489.94,A,2025-01
S0009,2025-01-02,3,23478.43,A,2025-01
S0009,2025-01-03,4,23478.43,A,2025-01
S0009,2025-01-04,5,23675.04,A,2025-01
S0009,2025-01-05,6,23890.82,A,2025-01
S0009,2025-01-06,7,22656.16,A,2025-01
S0009,2025-01-07,8,22656.16,A,2025-01
S0009,2025-01-08,9,23057.4,A,2025-01
S0009,2025-01-09,10,24685.13,A,2025-01
S0009,2025-01-10,11,24685.13,A,2025-01
S0009,2025-01-11,12,24685.13,A,2025-01
S0009,2025-01-12,13,24900.92,A,2025-01
S0009,2025-01-13,14,23666.25,A,2025-01
S0009,2025-01-14,15,23666.25,A,2025-01
S0009,2025-01-15,16,23980.65,A,2025-01
S0009,2025-01-16,17,23969.15,A,2025-01
S0009,2025-01-17,18,23969.15,A,2025-01
S0009,2025-01-18,19,23969.15,A,2025-01
S0009,2025-01-19,20,24184.93,A,2025-01
S0009,2025-01-20,21,22950.26,A,2025-01
S0009,2025-01-21,22,22950.26,A,2025-01
S0009,2025-01-22,23,23383.8,A,2025-01
S0009,2025-01-23,24,23505.53,A,2025-01
S0009,2025-01-24,25,23505.53,A,2025-01
S0009,2025-01-25,26,23505.53,A,2025-01
S0009,2025-01-26,27,23624.43,A,2025-01
S0009,2025-01-27,28,22256.53,A,2025-01
S0009,2025-01-28,29,22256.53,A,2025-01
S0009,2025-01-29,30,23286.92,A,2025-01
S0010,2024-12-31,1,7567.35,E,2024-12
S0010,2025-01-01,2,7734.56,E,2025-01
S0010,2025-01-02,3,7734.56,E,2025-01
S0010,2025-01-03,4,7734.56,E,2025-01
S0010,2025-01-04,5,7734.56,E,2025-01
S0010,2025-01-05,6,7738.51,E,2025-01
S0010,2025-01-06,7,7668.94,E,2025-01
S0010,2025-01-07,8,7553.46,E,2025-01
S0010,2025-01-08,9,7553.46,E,2025-01
S0010,2025-01-09,10,7553.46,E,2025-01
S0010,2025-01-10,11,7553.46,E,2025-01
S0010,2025-01-11,12,7553.46,E,2025-01
S0010,2025-01-12,13,7623.03,E,2025-01
S0010,2025-01-13,14,7553.46,E,2025-01
S0010,2025-01-14,15,7553.46,E,2025-01
S0010,2025-01-15,16,7553.46,E,2025-01
S0010,2025-01-16,17,7553.46,E,2025-01
S0010,2025-01-17,18,7553.46,E,2025-01
S0010,2025-01-18,19,7553.46,E,2025-01
S0010,2025-01-19,20,7623.03,E,2025-01
S0010,2025-01-20,21,7553.46,E,2025-01
S0010,2025-01-21,22,7553.46,E,2025-01
S0010,2025-01-22,23,7553.46,E,2025-01
S0010,2025-01-23,24,7553.46,E,2025-01
S0010,2025-01-24,25,7553.46,E,2025-01
S0010,2025-01-25,26,7553.46,E,2025-01
S0010,2025-01-26,27,7623.03,E,2025-01
S0010,2025-01-27,28,7553.46,E,2025-01
S0010,2025-01-28,29,7553.46,E,2025-01
S0010,2025-01-29,30,7553.46,E,2025-01
